hash,project,true_message,generated_message,cleaned_generated_message,aggressive_cleaned_generated_message
df8bd551d29937a4c0da48de4a806b633b198fb5,nats-io_java-nats,adding test for MemoryAuthHandler and improving other coverage, Update MemoryAuthHandler copyright year to 2022 to reflect current date., Update MemoryAuthHandler copyright year to 2022 to reflect current date., Update MemoryAuthHandler copyright year to 2022 to reflect current date.
af3963d605a67a30074c3cd8baca355a7dfdec05,pazz_alot,possibly fix opening emails encoded as non-ascii/non-unicode, Refactor utility imports for better module organization and consistency, Refactor utility imports for better module organization and consistency, Refactor utility imports for better module organization and consistency
355b9002935334bf4d184c56e6bc4932e721b462,radical-cybertools_radical.entk,"Update all_pairs_pattern.py

Changed the names of the methods according to Ole's suggestions", Renamed init_step and comparison methods to element_initialization and element_comparison respectively for better clarity in AllPairsPattern class., Renamed init_step and comparison methods to element_initialization and element_comparison respectively for better clarity in AllPairsPattern class., Renamed init_step and comparison methods to element_initialization and element_comparison respectively for better clarity in AllPairsPattern class.
05d38734de6894c501af6a8f230c080ae1ab912d,sass_ruby-sass,[Sass] [SCSS] Properly display error messages for formerly raw strings., Improved SCSS error reporting by displaying regexps in a clearer format when expectations are not met., Improved SCSS error reporting by displaying regexps in a clearer format when expectations are not met., Improved SCSS error reporting by displaying regexps in a clearer format when expectations are not met.
3e56783e8b79e7d1e899b5abb04dd8e066976476,lxc_lxd,lxd/network/driver/bridge: Wraps validate.IsNetworkV4 in shared.Optional," `lxd: Allows 'fan.overlay_subnet' field to be optional when set to 'auto', improves configuration flexibility`"," `lxd: Allows 'fan.overlay_subnet' field to be optional when set to 'auto', improves configuration flexibility"," `lxd: Allows 'fan.overlay_subnet' field to be optional when set to 'auto', improves configuration flexibility"
d515d55979296766256d27388fb7c214a0de9237,eallik_spinoff,Made logging thread and multiprocess safe," Added inter-process queue and lock mechanism to util.logging for multithreading support, improving performance on Windows platform"," Added inter-process queue and lock mechanism to util.logging for multithreading support, improving performance on Windows platform"," Added inter-process queue and lock mechanism to util.logging for multithreading support, improving performance on Windows platform"
3c2011cef7e8a094c3579f68e0fcac9ba6aacd0e,jeffp_enumerated_attribute,Make it work with Rails 3 Generator, Adds Rails Generators support for enumerated attribute, Adds Rails Generators support for enumerated attribute, Adds Rails Generators support for enumerated attribute
68ce91e2ff7a3adde54f0104081a0b82339817ed,joke2k_faker,#<I> Fixes issue where pydict provider was not returing the correct number of elements. (#<I>), Implement unique random words in Python Provider for improved output variety, Implement unique random words in Python Provider for improved output variety, Implement unique random words in Python Provider for improved output variety
9b5e7ec8f9e759f5b34a486d14399a6ea7694db0,ianusmagnus_passport-relayr,Get app information with the first info call, Updated RelayrStrategy for fetching user or app information depending on 'fetch' option., Updated RelayrStrategy for fetching user or app information depending on 'fetch' option., Updated RelayrStrategy for fetching user or app information depending on 'fetch' option.
7613c5c501a7dc3739a5b89fb5d5eede863a8548,swaggo_swag,chroe: release for <I> (#<I>), feat: update to v1.2.0 release version., feat: update to v1.2.0 release version., feat: update to v1.2.0 release version.
d1ad01dd8ace7013b896bf335c49905892521fa1,pluralsight_design-system,fix(site): fix Card example theme, Refactor(site): adopt Layout component for card gallery structure in InAppExample, Refactor(site): adopt Layout component for card gallery structure in InAppExample, Refactor(site): adopt Layout component for card gallery structure in InAppExample
60474d618c24706f1c6822c154ed1c90b718e7f5,alchemy-fr_Phraseanet,"Add cascade remove for accounts relationship, when deleting an application related accounts will be deleted as well", Add Cascade Removal for ApiApplication-ApiAccount Relationship, Add Cascade Removal for ApiApplication-ApiAccount Relationship, Add Cascade Removal for ApiApplication-ApiAccount Relationship
4de9e226b2a17c124dbd8ef1b4926800717a18e6,pyviz_holoviews,Added five unit tests for setting dimension name and label, Added test cases for Dimension name and label handling variations, Added test cases for Dimension name and label handling variations, Added test cases for Dimension name and label handling variations
fbbd96515cc7ec805b0c06b16e06e7cc9c8fab81,validator_validator,Drop Malayalam & Somali from list of RTL langs, Added 'so' and 'ml' to RTL_LANGS array for improved language detection in XML readers, Added 'so' and 'ml' to RTL_LANGS array for improved language detection in XML readers, Added 'so' and 'ml' to RTL_LANGS array for improved language detection in XML readers
9c045bd7708abc1765f07c8d7c7212cb238dd8eb,rkhleics_wagtailmenus,Remove more binary strings from migrations (#<I>), Updated URL appending functionality for FlatMenuItem and MainMenuItem fields, Updated URL appending functionality for FlatMenuItem and MainMenuItem fields, Updated URL appending functionality for FlatMenuItem and MainMenuItem fields
ec818b325cc53842ac8d293e6fb02d0d2acb8cce,godfat_rib,fix something like Rib.disable_color, Added metaclass support for Rib module evaluation in plugin.rb for improved encapsulation and flexibility when defining plugins., Added metaclass support for Rib module evaluation in plugin.rb for improved encapsulation and flexibility when defining plugins., Added metaclass support for Rib module evaluation in plugin.rb for improved encapsulation and flexibility when defining plugins.
59764bc070fa98cdf1e68b28d4fa0f32a70491db,matomo-org_matomo,refs #<I> make sure a *.international email address would work, Updated email validation regex to accept domain lengths up to 12 characters, Updated email validation regex to accept domain lengths up to 12 characters, Updated email validation regex to accept domain lengths up to 12 characters
c9ee7d36b8f1e0b6a090948e2840a90f975d060c,lumine-gl_lumine,Fixing a spawned canvas density issue., Increased render target size based on density option for adaptive rendering, Increased render target size based on density option for adaptive rendering, Increased render target size based on density option for adaptive rendering
b00fa1241340fb66d8cf2914d605041754b720fd,shoebot_shoebot,Strokecolor wasn't always using a Color object, Update `ColorMixin` in `basecolor.py` to create a new Color instance from an existing one when setting stroke color., Update `ColorMixin` in `basecolor.py` to create a new Color instance from an existing one when setting stroke color., Update `ColorMixin` in `basecolor.py` to create a new Color instance from an existing one when setting stroke color.
d44e9fd425fee57ada347fa04fb6e4140fcb7e20,assetgraph_assetgraph,Remove debugging graph from JsonUl test, Removed debug graph rendering from JsonUrl tests, Removed debug graph rendering from JsonUrl tests, Removed debug graph rendering from JsonUrl tests
83a7c5801729dcee4ec7e56560b8d9cc57e03310,threerings_nenya,"Move this getter up with his friends.


git-svn-id: svn+ssh://src.earth.threerings.net/nenya/trunk@<I> ed5b<I>cb-e<I>-<I>-a<I>-f6a<I>f<I>b<I>", * Introduced method to access RegionManager for dirty region coordination., * Introduced method to access RegionManager for dirty region coordination., * Introduced method to access RegionManager for dirty region coordination.
3f0e403127e6ffae8b2108b0cbd05c73f785f2e0,vkorn_pyvizio,add docstring explaining guess_device_type and log warning if no port detected, Added validation for device IP format in guess_device_type function to ensure correct operation during zeroconf discovery workflow, Added validation for device IP format in guess_device_type function to ensure correct operation during zeroconf discovery workflow, Added validation for device IP format in guess_device_type function to ensure correct operation during zeroconf discovery workflow
f0e6e062d69b77bcf7e6c24f6e564893eb4b9df3,stringparser_gulp-repl,enhance: exit on first SIGINT, add SIGINT handler and only dispatch tasks for non-empty lines, add SIGINT handler and only dispatch tasks for non-empty lines, add SIGINT handler and only dispatch tasks for non-empty lines
929c55cc98e734525ec00c0d24e8e8654499ccd7,cilium_cilium,Test: Set gracePeriod to 0 to avoid delays on delete., Test: Set terminationGracePeriodSeconds to 0 for containers - To avoid hanging deletion of test pods during nightly builds due to container cleanup time., Test: Set terminationGracePeriodSeconds to 0 for containers - To avoid hanging deletion of test pods during nightly builds due to container cleanup time., Test: Set terminationGracePeriodSeconds to 0 for containers - To avoid hanging deletion of test pods during nightly builds due to container cleanup time.
0529e2087cc885b392d1b90ff61227748c600bc0,genepattern_genepattern-notebook,Remove whitelist checking from GenePattern authenticator," Implemented removal of whitelist check for GenePatternAuthenticator in Jupyterhub, allowing all users to authenticate without restriction"," Implemented removal of whitelist check for GenePatternAuthenticator in Jupyterhub, allowing all users to authenticate without restriction"," Implemented removal of whitelist check for GenePatternAuthenticator in Jupyterhub, allowing all users to authenticate without restriction"
7256faf42c1947959b46c642cbdd4891b59e9f39,tzinfo_tzinfo,"Change zone used by case test. Because instances are now cached by Timezone, this was causing a problem with test_get_valid_1.", Changed test case for 'Timezone.get' to use 'Europe/prague' instead of 'Europe/london'. Adjusted test for consistency with other cases., Changed test case for 'Timezone.get' to use 'Europe/prague' instead of 'Europe/london'. Adjusted test for consistency with other cases., Changed test case for 'Timezone.get' to use 'Europe/prague' instead of 'Europe/london'. Adjusted test for consistency with other cases.
474e8c05367724cd15dcb0e0b440d9a7032bb1a7,knagra_farnsworth,Show the updated first + last name in the approval message, Updated email formatting for profile request approval notifications, Updated email formatting for profile request approval notifications, Updated email formatting for profile request approval notifications
0508c2282794197e10e026c7f7047c7fe52f9929,google_j2objc,getThreadGroup is expected to return null when the thread is terminated. The exit() impl sets threadGroup to null after setting state to TERMINATED creating a race. Checking state before returning the thread group fixes that race., Migrated Thread implementation to use pthread for nullable threadGroup return in TERMINATED state., Migrated Thread implementation to use pthread for nullable threadGroup return in TERMINATED state., Migrated Thread implementation to use pthread for nullable threadGroup return in TERMINATED state.
ab361ac169bc39524e2b5d9fa1be64a93fef0546,axios_axios,"Expose XHR instance

Fixes gh-<I>", Added 'request' object to response data in both HTTP and XHR adapters for consistency and easier access, Added 'request' object to response data in both HTTP and XHR adapters for consistency and easier access, Added 'request' object to response data in both HTTP and XHR adapters for consistency and easier access
b5765b5e5f47f6f53a67ca8217550ea60e20c825,gocelery_gocelery,add support for context to CeleryClient, Add context support to StartWorker function and introduce new StartWorkerWithContext function, Add context support to StartWorker function and introduce new StartWorkerWithContext function, Add context support to StartWorker function and introduce new StartWorkerWithContext function
935f986a6c58e41bccb83daf3cdc4b19aaff94da,cryptape_ruby-devp2p,revert PeerManager max peer control fix, Implement peer limit in PeerManager: prevent adding peers exceeding configured max peer count to avoid excessive connections., Implement peer limit in PeerManager: prevent adding peers exceeding configured max peer count to avoid excessive connections., Implement peer limit in PeerManager: prevent adding peers exceeding configured max peer count to avoid excessive connections.
2e8a572dfd6cc170ed60a45d7d1180d56958eb12,containerd_containerd,Add timestamp to flaky restart monitor test," Added timeout check for task restart in integration test

The updated integration test now includes a timeout check to verify that the task is restarted within a specified interval."," Added timeout check for task restart in integration test
The updated integration test now includes a timeout check to verify that the task is restarted within a specified interval.", Added timeout check for task restart in integration test
905a76583eb03da254e717de9272c0e05e9d7a39,sinatra_sinatra,get rid of dslify_writer, Simplified DSL access for response status and body in Sinatra request object, Simplified DSL access for response status and body in Sinatra request object, Simplified DSL access for response status and body in Sinatra request object
76adf373c07e4a801e96f3389118ca9fa82cb656,drutiny_drutiny,Allow colours on table cells to print., Made adjustments to table styles in report-acsf.tpl.php for better consistency across all td cells., Made adjustments to table styles in report-acsf.tpl.php for better consistency across all td cells., Made adjustments to table styles in report-acsf.tpl.php for better consistency across all td cells.
35908a9b02ba0a090b5ef56fa0a0bd8eb9dedb60,spress_spress-core,Fixed the issue with overwriting the latest message, Removed optional parameter from 'overwrite' method in all IOInterface classes, Removed optional parameter from 'overwrite' method in all IOInterface classes, Removed optional parameter from 'overwrite' method in all IOInterface classes
053b503f7284d47dbb3a38dd4dc4aaee07ed3021,eclipse_orion.client,Bug <I> - [CSS] Add some quickfixes to CSS tooling... Provide rule id in annotations," Refactor `_getProblemId` function to compute problem id from CSSLint message using rule id if available, or return null."," Refactor `_getProblemId` function to compute problem id from CSSLint message using rule id if available, or return null."," Refactor `_getProblemId` function to compute problem id from CSSLint message using rule id if available, or return null."
5773b42109ba1f3443c42524fb7de11161c39060,moodle_moodle,community block MDL-<I> change eldest for oldest, Sort search results by rating or publisher or name or newest or oldest or eldest., Sort search results by rating or publisher or name or newest or oldest or eldest., Sort search results by rating or publisher or name or newest or oldest or eldest.
8818ee7ade833409dea6730e895e7e850a39f960,json-path_JsonPath,"Remove unused logger from class

Logger is not being used here so removing.", Removed logging imports for improved code cleanliness, Removed logging imports for improved code cleanliness, Removed logging imports for improved code cleanliness
c4483d18648a4de1fff9a03a95bfec416c0f1be4,chartjs_Chart.js,"Make the build reproducible (#<I>)

Whilst working on the Reproducible Builds effort [0] we noticed that

Chart.js could not be built reproducibly.



This is because it was embedding another build date in a ""banner""

comment. This patch uses the value from SOURCE_DATE_EPOCH [1] if

present.



This was originally filed in Debian as #<I> [2].



 [0] <URL>", Update banner year in rollup config for accurate copyright information based on build time., Update banner year in rollup config for accurate copyright information based on build time., Update banner year in rollup config for accurate copyright information based on build time.
e46bd75a890f9fb37003606c73f8864667cb2731,ljharb_String.prototype.matchAll,"[Tests] ensure that when faking the `g` flag, that the `global` property is also `true`.", [Tests] update regex test case to include global flag check, [Tests] update regex test case to include global flag check, [Tests] update regex test case to include global flag check
b7c83c653b686670e828a59cc03a2e82b95d2349,CachetHQ_Cachet,New translations cachet.php (Italian), Updated cachet.php (Italian translation): added 'manage_at_link' for managing subscriptions at given link., Updated cachet.php (Italian translation): added 'manage_at_link' for managing subscriptions at given link., Updated cachet.php (Italian translation): added 'manage_at_link' for managing subscriptions at given link.
4122fed654c75384a71d058fbfc1710813d0ff8d,jipiboily_monologue,Fixes #<I>. small refactoring, Simplified initialization of 'monologue.configuration' for consistency, Simplified initialization of 'monologue.configuration' for consistency, Simplified initialization of 'monologue.configuration' for consistency
f062c8a9f5fa667d0d2e67d1dbd1f90bdf0ecbf4,jacobtomlinson_datapoint-python,Clean up an empty line in Day.py and add the removed lin nearest=False in Manager.py within get_nearest_site," Removed method 'get_all_sites' from Manager class, implemented 'nearest site determination' logic instead"," Removed method 'get_all_sites' from Manager class, implemented 'nearest site determination' logic instead"," Removed method 'get_all_sites' from Manager class, implemented 'nearest site determination' logic instead"
09fc2606db5fddce86b72f1bd8965cf876dc4ef5,p810_mysql-helper,Temp. fix for failing test w/o integration, Adds primary key definition to ModelTest for proper query builder usage, Adds primary key definition to ModelTest for proper query builder usage, Adds primary key definition to ModelTest for proper query builder usage
4d180ed991ce956254b612190f3c21cc1eb3dd95,github_octodns,Implement populate exists for YamlProvider," Ignore existing records when populating as a target in YAML provider, return False instead of None"," Ignore existing records when populating as a target in YAML provider, return False instead of None"," Ignore existing records when populating as a target in YAML provider, return False instead of None"
4f7158a0cbd229bcfa24354ab00a9b868615de17,novopl_peltak,"Can store lint exclude list in pelconf.yaml

- (feature) From now on you can save the lint exclude list inside the pelconf.yaml as lint.exclude config value. This saves you from using —exclude argument on every run.", Incorporate additional lint exclusions from configuration file, Incorporate additional lint exclusions from configuration file, Incorporate additional lint exclusions from configuration file
f86cfbc904e889afdf9c71145094f0b15223904e,sapegin_mrm-core,Refactor: Remove unnecessary eslint comment, Test: Simplify fs mock setup (remove no-console rule), Test: Simplify fs mock setup (remove no-console rule), Test: Simplify fs mock setup (remove no-console rule)
861794e77f1d4201371effeddb80cbc84b4ea785,fabianlindfors_multi.js,"Avoid XSS when rendering choices

Using innerHTML on select value is unsafe as it can contain HTML markup.", Renamed innerHTML to innerText for better compatibility across platforms, Renamed innerHTML to innerText for better compatibility across platforms, Renamed innerHTML to innerText for better compatibility across platforms
9c0d7c403ff5ad7afa10d503dcdf719d25d4a528,jruby_activerecord-jdbc-adapter,"[postgres] support BIT(n) type where n > 1 as ""bit strings"""," [postgres] Handle BIT data type in PostgreSQLRubyJdbcConnection

Explanation: This commit message is descriptive of the change made - adding support for handling the BIT data type in the PostgreSQLRubyJdbcConnection class. It highlights that now the 'BIT' case will be handled differently compared to other data types and explains the reason for this change by mentioning the need to handle both boolean values ('t', 'f') and string representations of binary data (e.g., ""0110"")."," [postgres] Handle BIT data type in PostgreSQLRubyJdbcConnection
Explanation: This commit message is descriptive of the change made - adding support for handling the BIT data type in the PostgreSQLRubyJdbcConnection class. It highlights that now the 'BIT' case will be handled differently compared to other data types and explains the reason for this change by mentioning the need to handle both boolean values ('t', 'f') and string representations of binary data (e.g., ""0110"").", [postgres] Handle BIT data type in PostgreSQLRubyJdbcConnection
94ea9b4ac24a5eacac01252cfd82d17bafa167de,yadahan_laravel-authentication-log,Add support for custom created_at column, Logged user creation time instead of instance for determining new user status, Logged user creation time instead of instance for determining new user status, Logged user creation time instead of instance for determining new user status
a3ba4aeb773bfaecc31caf4deea0fb7b4a1013d1,edwardcapriolo_teknek-kafka,Test did not actually test what it was supposed to, Updated TestDriverFactory test to use new CopyOfIdentityOperator class in URL loading, Updated TestDriverFactory test to use new CopyOfIdentityOperator class in URL loading, Updated TestDriverFactory test to use new CopyOfIdentityOperator class in URL loading
8f96c7509b703e5aded5680d2f55e8ef7cbf7d54,sumocoders_FrameworkMultiUserBundle,Compare users by id and make sure the user is an instance of the BaseUser, Implemented self-comparison for BaseUser entities to improve user impersonation functionality., Implemented self-comparison for BaseUser entities to improve user impersonation functionality., Implemented self-comparison for BaseUser entities to improve user impersonation functionality.
f34cd16e08241443a92dfe7b315b5052c2f34444,JetBrains_ring-ui,"RG-<I>: Fixed. rgSaveField should work with a copy of provided value, not with original value: fix

Former-commit-id: fea<I>bdefaf<I>e<I>e0aedb0ecffe6eff<I>"," Restore initial value on destroy for rgSaveField component, as scope.$on('$destroy' event now handles it."," Restore initial value on destroy for rgSaveField component, as scope.$on('$destroy' event now handles it."," Restore initial value on destroy for rgSaveField component, as scope.$on('$destroy' event now handles it."
2d4e5850756879d2247e13111e65c0e6fb8f9dd6,gem_oq-engine,Small fix to make_html_report, Added HTML formatting to job statistics in HTML report for better readability, Added HTML formatting to job statistics in HTML report for better readability, Added HTML formatting to job statistics in HTML report for better readability
0f3144007bfa41277b8d5a97b9b1923e29084836,hunzhiwange_framework,fix: fix the tests of Console\Cache, Updated CacheTest to remove option data dependency from constructor, Updated CacheTest to remove option data dependency from constructor, Updated CacheTest to remove option data dependency from constructor
a6f7bda12b11ca23e88f3839948aa2e4fbb4d40f,dustin_twitty-twister,Fix imports in xml tests, Updated test path for twittytwister module to include current directory and parent directory., Updated test path for twittytwister module to include current directory and parent directory., Updated test path for twittytwister module to include current directory and parent directory.
79944932451ca82db3c5060e22f188b1cf35f8bd,PHPSocialNetwork_phpfastcache,Fixed critical bug after item deletion: The item kept in memory was not reset., * Reset cached item with new default TTL and optionally updated creation/modification dates, * Reset cached item with new default TTL and optionally updated creation/modification dates, * Reset cached item with new default TTL and optionally updated creation/modification dates
2ecc9b7c1ec99049600ddf2201ddf9facb9c943d,tensorforce_tensorforce,added numpy to setup_requires, Updated setup.py for additional dependency requirement (added 'numpy') to support new Sphinx extensions for Readthedocs build., Updated setup.py for additional dependency requirement (added 'numpy') to support new Sphinx extensions for Readthedocs build., Updated setup.py for additional dependency requirement (added 'numpy') to support new Sphinx extensions for Readthedocs build.
a3bb103297c397efa0ec4358078a5277b8bc379a,elastic_elasticsearch-mapper-attachments,"Remove deprecated `language` forced field

With #<I> we replaced `language`field with `_language`.

We can now remove the old deprecated name.

Closes #<I>.
(cherry picked from commit e<I>f<I>)"," Deprecated ""language"" field and introduced ""_language"". Removed deprecated usage of ""language"" in favor of underscore prefixed ""_language"". See https://github.com/elasticsearch/elasticsearch-mapper-attachments/issues/68 for more information."," Deprecated ""language"" field and introduced ""_language"". Removed deprecated usage of ""language"" in favor of underscore prefixed ""_language"". See https://github.com/elasticsearch/elasticsearch-mapper-attachments/issues/68 for more information."," Deprecated ""language"" field and introduced ""_language"". Removed deprecated usage of ""language"" in favor of underscore prefixed ""_language"". See https://github.com/elasticsearch/elasticsearch-mapper-attachments/issues/68 for more information."
db252aec1b2d4adb9951b66781cd2bedd2aac36c,eallik_spinoff,Use a better __repr__ for ConnectedNode, Updated remoting module to represent connections instead of node info for better clarity, Updated remoting module to represent connections instead of node info for better clarity, Updated remoting module to represent connections instead of node info for better clarity
5f64dc0aa2108b7c73008611de4db909d03df170,oat-sa_tao-core,UNO-<I> fix(code-style): inline some badly named variables in `ElementMapFactory::create()`, refactor: simplified value collection search in ElementMapFactory, refactor: simplified value collection search in ElementMapFactory, refactor: simplified value collection search in ElementMapFactory
23ab2a7ba3e060db40efadd8419d30ac84094f75,seleniumbase_SeleniumBase,"Update emoji-spacing during ""sbase print [FILE]"""," Update emoji spacing list to improve ""rich"" console printing for additional symbols"," Update emoji spacing list to improve ""rich"" console printing for additional symbols"," Update emoji spacing list to improve ""rich"" console printing for additional symbols"
c32beb31cc44b0d3e38904e9a42b5ae4c120db62,numenta_nupic,switched from absolute to relative paths for py_support, Adjusts paths to py_support C++ files in setup.py using os.path.relpath() for repository-relative paths., Adjusts paths to py_support C++ files in setup.py using os.path.relpath() for repository-relative paths., Adjusts paths to py_support C++ files in setup.py using os.path.relpath() for repository-relative paths.
ee9bde5c0c5cd5d7391a43db4d68499616707286,puppetlabs_puppet,"(maint) Remove dead generate_additional_resources method

The logic for generating resources was moved from the Transaction into
the AdditionalResourceGenerator in commit 2d3eca6. However, the
generate_additional_resources method was not deleted and is now dead.
Since it's private, I'm removing it.", Removed recursive generation of additional resources from Transaction class due to unnecessary complexity, Removed recursive generation of additional resources from Transaction class due to unnecessary complexity, Removed recursive generation of additional resources from Transaction class due to unnecessary complexity
fe8f5512e0cfa5347dcb684c954d8eeca686e0c5,terraform-providers_terraform-provider-aws,gen/tags: Use interface type as generated AWS Go SDK v1 client type for connect., Update Connect generators to use ConnectAPI interface from aws-sdk-go/service/connect/connectiface, Update Connect generators to use ConnectAPI interface from aws-sdk-go/service/connect/connectiface, Update Connect generators to use ConnectAPI interface from aws-sdk-go/service/connect/connectiface
cb579e2a8b16b6185d17ef8352b3e1daf6728fa7,interagent_pliny,change creator command to use template from lib/, Adjusted template directory path for better project structure, Adjusted template directory path for better project structure, Adjusted template directory path for better project structure
73f62dd94950de3c5e0c576f02583acbf2e24416,reubano_ckanutils,Bump to version <I>, Updated package to version 0.14.5 for minor enhancements., Updated package to version 0.14.5 for minor enhancements., Updated package to version 0.14.5 for minor enhancements.
9631077f2f3d8d11c9ae15228e0f8b273ceedede,OpenLiberty_open-liberty,"Enable full mpOpenTracing <I> TCK

As it now passes.", Updated test suite for OpenTracing TCK to include OpentracingRestClientTCKLauncher class, Updated test suite for OpenTracing TCK to include OpentracingRestClientTCKLauncher class, Updated test suite for OpenTracing TCK to include OpentracingRestClientTCKLauncher class
4bba7bb7cbb4f9ab24863c5402c7cb945bba96e0,intel-analytics_BigDL,add random split (#<I>)," [Enhancement] - Implement random split for ImageFrame (add test and update test_image.py)
   * Add test function `test_random_split`
   * Update `test_image.py` to include reading an image from resources folder
   * Modify `ImageFrame.read()` method to support passing custom splits
   * Fix potential issues during random split implementation"," [Enhancement] - Implement random split for ImageFrame (add test and update test_image.py)
   * Add test function `test_random_split`
   * Update `test_image.py` to include reading an image from resources folder
   * Modify `ImageFrame.read()` method to support passing custom splits
   * Fix potential issues during random split implementation", [Enhancement] - Implement random split for ImageFrame (add test and update test_image.py)
3ef50f37e3f1f41c1bf37cf07660f34fa4f1934f,polyaxon_polyaxon,Update spawner notebook command args, Add missing quotes to NotebookApp.token in K8SProjectSpawner, Add missing quotes to NotebookApp.token in K8SProjectSpawner, Add missing quotes to NotebookApp.token in K8SProjectSpawner
1fa3750c9a209f5efbdc2722d40f2657885af5e5,grpc_grpc-go,"Clarify newCCResolverWrapper documentation. (#<I>)

I think the goroutine does not get started any more (this used to be the case in an earlier version).", Introduce optional resolver building without immediate monitoring startup, Introduce optional resolver building without immediate monitoring startup, Introduce optional resolver building without immediate monitoring startup
28122a0cde375a09bea9b037bdbf64da00ce1f2c,gjerokrsteski_pimf-framework,Update core/Pimf/Pdo/Factory.php, Updated Pimf/Pdo/Factory.php to simplify class collection description, Updated Pimf/Pdo/Factory.php to simplify class collection description, Updated Pimf/Pdo/Factory.php to simplify class collection description
eed768e03c4cf94450acbfcd6de88c65ff9ac526,erector_erector,"Don't emit an attribute with an empty array of values

This makes it more convenient to programatically build an array of CSS classes, for example"," ""Alphabetizes array attributes in widgets (for consistency)"""," ""Alphabetizes array attributes in widgets (for consistency)"," ""Alphabetizes array attributes in widgets (for consistency)"
17d5be3c988f6961456a22fd5a4cf6a895c395c8,perry-mitchell_webdav-client,"Check double slash

Make sure it won't add double slash that will make path.basename return nothing.", Normalized file paths using 'path' library for better handling of directory traversal, Normalized file paths using 'path' library for better handling of directory traversal, Normalized file paths using 'path' library for better handling of directory traversal
f78b2cc391385a9f702988703a34cd9f6cf258fa,jasny_config,Config can be used as multiton instead of singleton (using __callstatic), - Refactored Config singleton to multiton for better registration and access of multiple instances, - Refactored Config singleton to multiton for better registration and access of multiple instances, - Refactored Config singleton to multiton for better registration and access of multiple instances
89131070e1e0bf440a508d95833b57977f655e72,raiden-network_raiden,adding test for issue #<I>, Updated test_ncc.py: Fixed deposit values in tests for NettingChannelManager.sol, Updated test_ncc.py: Fixed deposit values in tests for NettingChannelManager.sol, Updated test_ncc.py: Fixed deposit values in tests for NettingChannelManager.sol
7000290b28b652f85735747d1d15c0ccf2b5f9ec,apache_flink,"[hotfix] Use semantically correct timeout in ExecutionGraph::scheduleEager.

This closes #<I>.", Updated ExecutionGraph's allocation timeout to be renamed as timeout for better consistency in variable naming., Updated ExecutionGraph's allocation timeout to be renamed as timeout for better consistency in variable naming., Updated ExecutionGraph's allocation timeout to be renamed as timeout for better consistency in variable naming.
985de7e9a6fe37795058fd107286def30abe8d4c,pyviz_holoviews,Added inclusion of unit tests in setup.py, Updated setup.py to include unit tests package and adjust package_data for holoviews.tests, Updated setup.py to include unit tests package and adjust package_data for holoviews.tests, Updated setup.py to include unit tests package and adjust package_data for holoviews.tests
41d7008a5fade13522e905be805a8bc73e97964a,guardtime_ksi-java-sdk,Fixed a test and added a comment.," Implemented tree aggregation feature in TreeBuilder, ensuring that all added nodes are now leaf nodes and will be included in a single root node during building."," Implemented tree aggregation feature in TreeBuilder, ensuring that all added nodes are now leaf nodes and will be included in a single root node during building."," Implemented tree aggregation feature in TreeBuilder, ensuring that all added nodes are now leaf nodes and will be included in a single root node during building."
e81f1b6c5e2fec31d5641f7f95a8f9925e92eb1e,cornerstonejs_cornerstoneTools,fix: Add reverse() back when adding images to queue in stackPrefetch (#<I>), Refactor StackPrefetch: Reverse order of images in prefetch queue for efficient loading, Refactor StackPrefetch: Reverse order of images in prefetch queue for efficient loading, Refactor StackPrefetch: Reverse order of images in prefetch queue for efficient loading
d20d42c615d45145efa763b7161731eb97397460,fog_fog,"[clodo|compute] I don't know what is ignore_awful_caching, so i removed it.", Updated Clodo Compute API to remove cache-ignoring query parameter from request path., Updated Clodo Compute API to remove cache-ignoring query parameter from request path., Updated Clodo Compute API to remove cache-ignoring query parameter from request path.
9af62b4de941f969c6bceeae006c71aab0182ed3,gem_oq-engine,Changed portable_gsims to show the non-vectorized GMPEs [ci skip], Simplified GSIM initializer for improved code readability, Simplified GSIM initializer for improved code readability, Simplified GSIM initializer for improved code readability
1ba29d46893c54aab46454bb0475b6275241f161,gem_oq-engine,Added more checks to the disaggregation calculator [skip hazardlib], Grouped source processing by SourceGroup object in disaggregation calculation for improved readability, Grouped source processing by SourceGroup object in disaggregation calculation for improved readability, Grouped source processing by SourceGroup object in disaggregation calculation for improved readability
7808a6389cb0d675555787de32caeec3145e7c7e,synchronoss_cpo-api,Added a check in closeConnection to test to see if the connection has already been closed., Added check for non-closed connections before closing them in closeConnection method to avoid multiple closures, Added check for non-closed connections before closing them in closeConnection method to avoid multiple closures, Added check for non-closed connections before closing them in closeConnection method to avoid multiple closures
5c5c4a92738b9e735c547562113c765052f4e849,PmagPy_PmagPy,make_magic: fix bug where non-age magic_method_codes show up in age grid, Ensured empty magic_method_codes for GridBuilder when no age codes are available, Ensured empty magic_method_codes for GridBuilder when no age codes are available, Ensured empty magic_method_codes for GridBuilder when no age codes are available
d93b70a7a43de49309394b597ab23118522b053b,fog_fog,[aws|simpledb] fix region/host for us-east-1, Normalized SimpleDB host for non-us-east-1 regions based on region option provided., Normalized SimpleDB host for non-us-east-1 regions based on region option provided., Normalized SimpleDB host for non-us-east-1 regions based on region option provided.
